date,priceArea,prod_quantityKwh_sum,prod_quantityKwh_mean,cons_quantityKwh_sum,cons_quantityKwh_mean,cons_countMeteringPoints_sum,net_quantityKwh_sum
2025-11-03,NO1,62571109.28,521425.9106666667,95623931.117,796866.0926416666,0.0,-33052821.836999997
2025-11-03,NO2,135306239.418,1127551.99515,96240320.302,802002.6691833333,0.0,39065919.11600001
2025-11-03,NO3,78166367.351,651386.3945916666,81889072.549,682408.9379083333,0.0,-3722705.197999999
2025-11-03,NO4,86329149.006,719409.57505,57186606.233,476555.0519416667,0.0,29142542.772999994
2025-11-03,NO5,76720757.545,532783.0385069444,45943641.625,382863.68020833336,0.0,30777115.92
2025-11-04,NO1,63385689.239,528214.0769916667,89471759.915,745597.9992916667,0.0,-26086070.676000006
2025-11-04,NO2,119459354.132,995494.6177666667,96224704.205,801872.5350416667,0.0,23234649.927
2025-11-04,NO3,77279751.874,643997.9322833333,80327484.129,669395.701075,0.0,-3047732.254999995
2025-11-04,NO4,88238190.71,735318.2559166666,56133613.477,467780.11230833334,0.0,32104577.232999995
2025-11-04,NO5,64870885.912,450492.26327777776,45420106.904,378500.8908666667,0.0,19450779.008
2025-11-05,NO1,62581536.537,521512.804475,86201547.086,718346.2257166667,0.0,-23620010.548999995
2025-11-05,NO2,138065438.196,1150545.3183000002,94666067.15,788883.8929166667,0.0,43399371.046000004
2025-11-05,NO3,81045997.167,675383.3097249999,80087218.167,667393.484725,0.0,958779.0
2025-11-05,NO4,94771932.523,789766.1043583334,54508854.496,454240.45413333335,0.0,40263078.027
2025-11-05,NO5,79540187.128,552362.4106111112,44324194.786,369368.2898833333,0.0,35215992.34200001
2025-11-06,NO1,60863135.096,507192.79246666667,87408452.262,728403.76885,0.0,-26545317.165999994
2025-11-06,NO2,161996108.869,1349967.5739083332,93433891.351,778615.7612583333,0.0,68562217.51799999
2025-11-06,NO3,66606780.736,555056.5061333333,82209506.979,685079.224825,0.0,-15602726.243
2025-11-06,NO4,98242662.32699999,818688.8527249999,55923726.713,466031.05594166665,0.0,42318935.61399999
2025-11-06,NO5,94445634.32,655872.4605555555,44264821.745,368873.51454166666,0.0,50180812.574999996
2025-11-07,NO1,60362927.33,503024.39441666665,86715768.282,722631.40235,0.0,-26352840.952000007
2025-11-07,NO2,166753294.942,1389610.7911833334,93743147.491,781192.8957583333,0.0,73010147.451
2025-11-07,NO3,81071483.117,675595.6926416666,81221137.915,676842.8159583334,0.0,-149654.79800000787
