date,priceArea,consumptionGroup,quantityKwh_sum,quantityKwh_mean,countMeteringPoints_sum
2025-10-28,NO1,CABIN,1842718.154,76779.92308333334,0.0
2025-10-28,NO1,HOUSEHOLD,46153251.8,1923052.1583333332,0.0
2025-10-28,NO1,PRIMARY,1114879.584,46453.316,0.0
2025-10-28,NO1,SECONDARY,18720859.87,780035.8279166667,0.0
2025-10-28,NO1,TERTIARY,31540365.56,1314181.8983333332,0.0
2025-10-28,NO2,CABIN,1404347.813,58514.49220833334,0.0
2025-10-28,NO2,HOUSEHOLD,26153228.94,1089717.8725,0.0
2025-10-28,NO2,PRIMARY,1997713.824,83238.076,0.0
2025-10-28,NO2,SECONDARY,54971368.0,2290473.6666666665,0.0
2025-10-28,NO2,TERTIARY,15972011.18,665500.4658333333,0.0
2025-10-28,NO3,CABIN,975480.7,40645.02916666667,0.0
2025-10-28,NO3,HOUSEHOLD,17139473.05,714144.7104166667,0.0
2025-10-28,NO3,PRIMARY,2250779.963,93782.49845833333,0.0
2025-10-28,NO3,SECONDARY,45182227.5,1882592.8125,0.0
2025-10-28,NO3,TERTIARY,15899580.33,662482.51375,0.0
2025-10-28,NO4,CABIN,954212.903,39758.87095833333,0.0
2025-10-28,NO4,HOUSEHOLD,12738312.08,530763.0033333333,0.0
2025-10-28,NO4,PRIMARY,1491130.116,62130.4215,0.0
2025-10-28,NO4,SECONDARY,28772286.8,1198845.2833333334,0.0
2025-10-28,NO4,TERTIARY,11122381.44,463432.56,0.0
2025-10-28,NO5,CABIN,878012.134,36583.83891666667,0.0
2025-10-28,NO5,HOUSEHOLD,10468817.89,436200.7454166667,0.0
2025-10-28,NO5,PRIMARY,335739.333,13989.138874999999,0.0
2025-10-28,NO5,SECONDARY,27711870.8,1154661.2833333334,0.0
2025-10-28,NO5,TERTIARY,7492160.5,312173.3541666667,0.0
2025-10-29,NO1,CABIN,2064021.0420000001,86000.87675000001,0.0
2025-10-29,NO1,HOUSEHOLD,47365776.7,1973574.0291666668,0.0
2025-10-29,NO1,PRIMARY,1146211.974,47758.83225,0.0
2025-10-29,NO1,SECONDARY,18718001.25,779916.71875,0.0
2025-10-29,NO1,TERTIARY,31686653.2,1320277.2166666666,0.0
2025-10-29,NO2,CABIN,1641864.286,68411.01191666667,0.0
2025-10-29,NO2,HOUSEHOLD,28449657.84,1185402.41,0.0
2025-10-29,NO2,PRIMARY,2046325.149,85263.547875,0.0
2025-10-29,NO2,SECONDARY,53410300.9,2225429.2041666666,0.0
2025-10-29,NO2,TERTIARY,16669478.040000001,694561.5850000001,0.0
2025-10-29,NO3,CABIN,1096633.602,45693.06675,0.0
2025-10-29,NO3,HOUSEHOLD,18251749.17,760489.5487500001,0.0
2025-10-29,NO3,PRIMARY,2266474.791,94436.44962500001,0.0
2025-10-29,NO3,SECONDARY,45100302.7,1879179.2791666668,0.0
2025-10-29,NO3,TERTIARY,16392735.23,683030.6345833334,0.0
2025-10-29,NO4,CABIN,960929.85,40038.74375,0.0
2025-10-29,NO4,HOUSEHOLD,12696805.31,529033.5545833333,0.0
2025-10-29,NO4,PRIMARY,1492705.3630000001,62196.05679166667,0.0
2025-10-29,NO4,SECONDARY,29300514.8,1220854.7833333334,0.0
2025-10-29,NO4,TERTIARY,11155769.96,464823.74833333335,0.0
2025-10-29,NO5,CABIN,995592.84,41483.034999999996,0.0
2025-10-29,NO5,HOUSEHOLD,11248455.64,468685.6516666667,0.0
2025-10-29,NO5,PRIMARY,343863.478,14327.644916666666,0.0
2025-10-29,NO5,SECONDARY,24354162.6,1014756.775,0.0
2025-10-29,NO5,TERTIARY,7816565.42,325690.22583333333,0.0
2025-10-30,NO1,CABIN,2242496.393,93437.34970833334,0.0
2025-10-30,NO1,HOUSEHOLD,47984150.6,1999339.6083333334,0.0
2025-10-30,NO1,PRIMARY,1205574.373,50232.26554166666,0.0
2025-10-30,NO1,SECONDARY,19496344.69,812347.6954166667,0.0
2025-10-30,NO1,TERTIARY,31839356.89,1326639.8704166666,0.0
2025-10-30,NO2,CABIN,1612846.33,67201.93041666667,0.0
2025-10-30,NO2,HOUSEHOLD,27240715.39,1135029.8079166666,0.0
2025-10-30,NO2,PRIMARY,2008741.554,83697.56475,0.0
2025-10-30,NO2,SECONDARY,54033892.9,2251412.2041666666,0.0
2025-10-30,NO2,TERTIARY,16189661.8,674569.2416666667,0.0
2025-10-30,NO3,CABIN,1260928.642,52538.69341666667,0.0
2025-10-30,NO3,HOUSEHOLD,20052657.91,835527.4129166667,0.0
2025-10-30,NO3,PRIMARY,2322120.035,96755.00145833334,0.0
2025-10-30,NO3,SECONDARY,45935636.9,1913984.8708333333,0.0
2025-10-30,NO3,TERTIARY,17204300.87,716845.8695833334,0.0
2025-10-30,NO4,CABIN,1050539.33,43772.472083333334,0.0
2025-10-30,NO4,HOUSEHOLD,13310308.54,554596.1891666666,0.0
2025-10-30,NO4,PRIMARY,1504199.1539999999,62674.96474999999,0.0
2025-10-30,NO4,SECONDARY,29619629.7,1234151.2375,0.0
2025-10-30,NO4,TERTIARY,11550239.86,481259.99416666664,0.0
2025-10-30,NO5,CABIN,1034835.491,43118.14545833333,0.0
2025-10-30,NO5,HOUSEHOLD,11100357.42,462514.8925,0.0
2025-10-30,NO5,PRIMARY,344160.66,14340.027499999998,0.0
